4K频道,#genre#
福建东南卫视,http://192.168.100.1:50101/TVOD/1000000005000265033/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
福建东南卫视,http://192.168.100.1:50101/TVOD/5000000001000005829/FifastbLive/index.m3u8$4M1080_百视通
福建东南卫视,http://192.168.100.1:50101/TVOD/1000000002000009263/FifastbLive/index.m3u8$4M1080_易视腾
甘肃卫视,http://192.168.100.1:50101/TVOD/5000000011000031121/FifastbLive/index.m3u8$6.8M1080_百视通
甘肃卫视,http://192.168.100.1:50101/TVOD/1000000002000017827/FifastbLive/index.m3u8$4M1080_易视腾
甘肃卫视,http://192.168.100.1:50101/TVOD/5000000006000040021/FifastbLive/index.m3u8$4M540_百视通
广东卫视,http://192.168.100.1:50101/TVOD/5000000004000014694/FifastbLive/index.m3u8$8M1080_百视通
广东卫视,http://192.168.100.1:50101/TVOD/6000000001000031076/FifastbLive/index.m3u8$8M1080_华数
广东卫视,http://192.168.100.1:50101/TVOD/1000000001000014176/FifastbLive/index.m3u8$8M1080_易视腾
广东卫视,http://192.168.100.1:50101/TVOD/1000000005000265034/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
广东卫视,http://192.168.100.1:50101/TVOD/5000000010000030417/FifastbLive/index.m3u8$4M1080_百视通
广东卫视,http://192.168.100.1:50101/TVOD/1000000001000028357/FifastbLive/index.m3u8$4M1080_易视腾
广东珠江,http://192.168.100.1:50101/TVOD/2000000003000000033/FifastbLive/index.m3u8$2.5M720_湖南bblive
广东珠江,http://192.168.100.1:50101/TVOD/1000000004000011655/FifastbLive/index.m3u8$2.5M720_易视腾
广西卫视,http://192.168.100.1:50101/TVOD/5000000011000031118/FifastbLive/index.m3u8$6.8M1080_百视通
广西卫视,http://192.168.100.1:50101/TVOD/1000000002000019837/FifastbLive/index.m3u8$4M1080_易视腾
广西卫视,http://192.168.100.1:50101/TVOD/5000000006000040014/FifastbLive/index.m3u8$4M540_百视通
贵州卫视,http://192.168.100.1:50101/TVOD/5000000004000025843/FifastbLive/index.m3u8$8M1080_百视通
贵州卫视,http://192.168.100.1:50101/TVOD/1000000002000003169/FifastbLive/index.m3u8$4M1080_易视腾
海南卫视,http://192.168.100.1:50101/TVOD/5000000004000006211/FifastbLive/index.m3u8$8M1080_百视通
海南卫视,http://192.168.100.1:50101/TVOD/1000000002000023773/FifastbLive/index.m3u8$4M1080_易视腾
河北卫视,http://192.168.100.1:50101/TVOD/5000000006000040016/FifastbLive/index.m3u8$8M1080_百视通
河北卫视,http://192.168.100.1:50101/TVOD/1000000002000017118/FifastbLive/index.m3u8$4M1080_易视腾
河南卫视,http://192.168.100.1:50101/TVOD/5000000011000031119/FifastbLive/index.m3u8$6.8M1080_百视通
河南卫视,http://192.168.100.1:50101/TVOD/1000000002000027731/FifastbLive/index.m3u8$4M1080_易视腾
河南卫视,http://192.168.100.1:50101/TVOD/5000000005000017925/FifastbLive/index.m3u8$4M720_百视通
黑龙江卫视,http://192.168.100.1:50101/TVOD/6000000001000016510/FifastbLive/index.m3u8$8M1080_华数
黑龙江卫视,http://192.168.100.1:50101/TVOD/1000000001000001925/FifastbLive/index.m3u8$8M1080_易视腾
黑龙江卫视,http://192.168.100.1:50101/TVOD/5000000004000025203/FifastbLive/index.m3u8$6.8M1080_百视通
黑龙江卫视,http://192.168.100.1:50101/TVOD/1000000005000265029/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
黑龙江卫视,http://192.168.100.1:50101/TVOD/5000000010000031107/FifastbLive/index.m3u8$4M1080_百视通
黑龙江卫视,http://192.168.100.1:50101/TVOD/1000000001000009082/FifastbLive/index.m3u8$4M1080_易视腾
湖北卫视,http://192.168.100.1:50101/TVOD/6000000001000015436/FifastbLive/index.m3u8$8M1080_华数
湖北卫视,http://192.168.100.1:50101/TVOD/1000000001000024621/FifastbLive/index.m3u8$8M1080_易视腾
湖北卫视,http://192.168.100.1:50101/TVOD/5000000004000014954/FifastbLive/index.m3u8$6.8M1080_百视通
湖北卫视,http://192.168.100.1:50101/TVOD/1000000005000265023/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
湖北卫视,http://192.168.100.1:50101/TVOD/5000000010000022140/FifastbLive/index.m3u8$4M1080_百视通
湖北卫视,http://192.168.100.1:50101/TVOD/1000000001000010355/FifastbLive/index.m3u8$4M1080_易视腾
湖南金鹰纪实,http://192.168.100.1:50101/TVOD/5000000011000031203/FifastbLive/index.m3u8$6.8M1080_百视通
湖南金鹰纪实,http://192.168.100.1:50101/TVOD/1000000002000011724/FifastbLive/index.m3u8$4M576_易视腾
湖南快乐垂钓,http://192.168.100.1:50101/TVOD/5000000011000031206/FifastbLive/index.m3u8$6.8M1080_百视通
湖南快乐垂钓,http://192.168.100.1:50101/TVOD/2000000002000000067/FifastbLive/index.m3u8$6.8M1080_湖南bblive
